1;ИП Сычев А.Д;Широтная 90;257564;34
2;ИП Сычев А.Д;Широтная 37;476456;3546
3;ИП Сычев А.Д;Широтная 107;346346;323
4;ИП Сычев А.Д;Мельникайте 42;463456;234
5;ИП Сычев А.Д;Мельникайте 98;670789;23
6;ИП Сычев А.Д;Центральная 37;575449;465
7;ИП Сычев А.Д;Малая Боровская 49;457684;8
8;ИП Сычев А.Д;Мельникайте 15;575469;356
9;ИП Сычев А.Д;Центральная 47;345867;34
10;ИП Сычев А.Д;Лесная 75;684679;65
11;ИП Сычев А.Д;Космонавтов  10;567356;234
12;ИП Сычев А.Д;Малая Боровская 95;356856;45
13;ИП Сычев А.Д;Малая Боровская 89;675645;34
14;ИП Сычев А.Д;Ленина 58;457457;687
15;ИП Сычев А.Д;Воровского 69;678656;34
16;ИП Сычев А.Д;Мира 36;568756;79
17;ИП Сычев А.Д;Малая Боровская 85;687568;67
18;ИП Сычев А.Д;Космонавтов 47;568568;45
19;ИП Сычев А.Д;Советская 12;573456;34
20;ИП Сычев А.Д;Мельникайте 91;987045;78
21;ИП Сычев А.Д;Мира 71;890890;34
22;ИП Сычев А.Д;Максима Горького 45;345457;78
23;ИП Сычев А.Д;Мира 38;879896;89
24;ИП Сычев А.Д;Максима Горького 73;564587;34
25;ИП Сычев А.Д;Советская 84;678678;56
26;ИП Сычев А.Д;Воровского 65;845463;34
27;ИП Сычев А.Д;Космонавтов  15;798777;567
28;ИП Сычев А.Д;Воровского 92;724152;67
29;ИП Сычев А.Д;Воровского 23;745327;45
30;ИП Сычев А.Д;Советская 46;415687;89
